# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
271000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 0 0
44 3.045 0 0 0 0 0 0
45 3.115 0.000404753 2e-05 0.000121304 3e-05 3.23543e-05 8e-06
46 3.185 0.00580736 0.00032 0.00174047 0.00048 0.000495165 0.000136
47 3.255 0.0363272 0.00228 0.00803583 0.00265 0.00231123 0.00076
48 3.325 0.0916525 0.00744 0.0302364 0.01117 0.00917212 0.003344
49 3.395 0.186047 0.01836 0.0753995 0.03332 0.0281502 0.011612
50 3.465 0.393849 0.04244 0.155389 0.08087 0.0670184 0.032116
51 3.535 0.608152 0.08114 0.264148 0.165 0.119322 0.070112
52 3.605 0.86944 0.13868 0.40476 0.29907 0.188485 0.132532
53 3.675 1.11202 0.21516 0.523994 0.47944 0.270694 0.225692
54 3.745 1.2327 0.3032 0.670846 0.71924 0.356957 0.353264
55 3.815 1.37111 0.40482 0.787687 1.01143 0.442157 0.517248
56 3.885 1.45199 0.51642 0.9056 1.3598 0.532315 0.72198
57 3.955 1.52961 0.63826 1.00253 1.75948 0.612296 0.966036
58 4.025 1.53505 0.7649 1.08763 2.20857 0.688572 1.2503
59 4.095 1.50105 0.89308 1.1568 2.70298 0.767361 1.5782
60 4.165 1.49449 1.0251 1.21432 3.23987 0.827161 1.94384
61 4.235 1.47221 1.15956 1.23435 3.80411 0.876057 2.34422
62 4.305 1.43172 1.29468 1.24297 4.39123 0.909825 2.77389
63 4.375 1.38853 1.43002 1.25599 5.00395 0.939967 3.23235
64 4.445 1.35309 1.56616 1.27108 5.64403 0.971945 3.7217
65 4.515 1.33921 1.70518 1.28938 6.31394 1.00092 4.24163
66 4.585 1.27808 1.842 1.30177 7.01142 1.04796 4.803
67 4.655 1.29938 1.98538 1.31102 7.73547 1.08683 5.40312
68 4.725 1.27066 2.12984 1.3257 8.48981 1.12473 6.04298
69 4.795 1.23674 2.27464 1.35161 9.28185 1.16689 6.72664
70 4.865 1.23824 2.42388 1.37219 10.1096 1.21698 7.46061
71 4.935 1.22481 2.57578 1.37266 10.9616 1.26837 8.24775
72 5.005 1.17951 2.72624 1.36398 11.8325 1.27985 9.0647
73 5.075 1.15954 2.87832 1.32881 12.7047 1.23386 9.87448
74 5.145 1.12761 3.03032 1.28674 13.5728 1.20215 10.6854
75 5.215 1.1247 3.18608 1.25978 14.4461 1.18976 11.5099
76 5.285 1.04968 3.33538 1.24397 15.3316 1.20399 12.3668
77 5.355 1.04584 3.4881 1.23094 16.2313 1.20833 13.2498
78 5.425 1.00968 3.63942 1.20794 17.1373 1.19747 14.1478
79 5.495 0.972156 3.7889 1.18686 18.0507 1.19213 15.065
80 5.565 0.986026 3.9444 1.17032 18.9745 1.18642 16.0013
81 5.635 0.951662 4.09828 1.14832 19.9038 1.17624 16.953
82 5.705 0.926522 4.25184 1.1307 20.8417 1.16497 17.9192
83 5.775 0.927514 4.40936 1.1141 21.7887 1.15819 18.9035
84 5.845 0.918997 4.56924 1.0943 22.7416 1.14806 19.9029
85 5.915 0.883792 4.7267 1.08481 23.7089 1.13607 20.9158
86 5.985 0.898655 4.89062 1.06682 24.6828 1.12758 21.945
87 6.055 0.877461 5.05444 1.05713 25.6706 1.12002 22.9913
88 6.125 0.850296 5.21688 1.04357 26.6685 1.10917 24.0517
89 6.195 0.842856 5.3816 1.04366 27.6893 1.09777 25.1252
90 6.265 0.828029 5.5471 1.02132 28.711 1.07753 26.2029
91 6.335 0.823043 5.7153 1.00753 29.7415 1.05902 27.2859
92 6.405 0.823629 5.88736 0.985702 30.7722 1.03665 28.3696
93 6.475 0.834021 6.06542 0.971805 31.8106 1.02508 29.4647
94 6.545 0.817193 6.24368 0.96146 32.8603 1.00285 30.5594
95 6.615 0.840649 6.431 0.947281 33.9167 0.993364 31.667
96 6.685 0.831924 6.62032 0.9399 34.9873 0.982164 32.7855
97 6.755 0.825961 6.81224 0.922645 36.0603 0.967752 33.9107
98 6.825 0.820067 7.00676 0.917824 37.1499 0.955673 35.045
99 6.895 0.807218 7.20218 0.912983 38.2561 0.948273 36.1938
100 6.965 0.803785 7.40074 0.9101 39.3814 0.937165 37.3523
101 7.035 0.803503 7.60324 0.901275 40.5182 0.927235 38.5216
102 7.105 0.837075 7.81842 0.898682 41.6744 0.922348 39.7081
103 7.175 0.822042 8.03392 0.898663 42.8536 0.917871 40.9121
104 7.245 0.844919 8.25976 0.896982 44.0535 0.911432 42.1312
105 7.315 0.84835 8.49092 0.901696 45.2832 0.909949 43.3719
106 7.385 0.862806 8.73054 0.912821 46.5521 0.912272 44.6397
107 7.455 0.876996 8.97874 0.911283 47.8429 0.903409 45.9191
108 7.525 0.886002 9.23422 0.906791 49.1516 0.907809 47.229
109 7.595 0.89024 9.49572 0.908443 50.4871 0.908011 48.5637
110 7.665 0.913696 9.76908 0.912108 51.8529 0.905241 49.9189
111 7.735 0.927627 10.0517 0.917951 53.2527 0.906612 51.3011
112 7.805 0.916994 10.3362 0.931954 54.6996 0.899045 52.6967
113 7.875 0.939524 10.6329 0.938198 56.1825 0.905833 54.1281
114 7.945 0.947681 10.9375 0.943041 57.6997 0.912109 55.5952
115 8.015 0.965254 11.2532 0.948005 59.2518 0.914676 57.0925
116 8.085 0.97607 11.5781 0.954146 60.8414 0.921041 58.6267
117 8.155 0.980646 11.9102 0.96219 62.4723 0.928318 60.1998
118 8.225 0.986087 12.2499 0.976065 64.1552 0.935969 61.8133
119 8.295 1.00901 12.6035 0.984101 65.881 0.940221 63.4618
120 8.365 1.0435 12.9753 0.992776 67.6515 0.948582 65.1531
121 8.435 1.02167 13.3455 1.00757 69.4786 0.956275 66.8868
122 8.505 1.03321 13.726 1.01806 71.3554 0.959618 68.6556
123 8.575 1.06032 14.1231 1.02308 73.2727 0.97146 70.4758
124 8.645 1.05225 14.5235 1.03026 75.2352 0.979967 72.3421
125 8.715 1.07296 14.9385 1.03659 77.2417 0.984018 74.2465
126 8.785 1.05848 15.3545 1.04223 79.2917 0.989184 76.1918
127 8.855 1.05363 15.7752 1.0464 81.3829 0.995324 78.1805
128 8.925 1.04358 16.1985 1.0513 83.5172 1.00539 80.2212
129 8.995 1.04342 16.6284 1.05426 85.6912 1.00887 82.3012
130 9.065 1.06684 17.0748 1.05159 87.8936 1.0188 84.4344
131 9.135 1.0618 17.526 1.06122 90.1506 1.01988 86.6031
132 9.205 1.06101 17.9838 1.06423 92.4489 1.02207 88.8099
133 9.275 1.06729 18.4513 1.06844 94.7914 1.02947 91.0665
134 9.345 1.05604 18.921 1.0663 97.1647 1.03165 93.3622
135 9.415 1.05573 19.3975 1.0671 99.5755 1.03855 95.7081
136 9.485 1.05002 19.8785 1.06629 102.02 1.03939 98.0908
137 9.555 1.03056 20.3577 1.05255 104.47 1.03497 100.499
138 9.625 1.03513 20.846 1.05517 106.961 1.03763 102.948
139 9.695 1.03653 21.3421 1.05432 109.487 1.04034 105.44
140 9.765 1.01559 21.8352 1.05166 112.042 1.04031 107.967
141 9.835 1.03623 22.3456 1.04916 114.629 1.04162 110.535
142 9.905 1.05021 22.8703 1.04618 117.245 1.03872 113.132
143 9.975 1.02736 23.3909 1.04453 119.894 1.03921 115.766
144 10.045 1.02231 23.9161 1.03438 122.554 1.03858 118.437
145 10.115 1.01988 24.4475 1.03521 125.253 1.04036 121.149
146 10.185 1.00618 24.979 1.03371 127.986 1.03477 123.884
