# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
400000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.75355e-05 5.10204e-06
44 3.045 0 0 0.000245806 7.5e-05 0.000210906 6.93878e-05
45 3.115 0 0 0.00219224 0.000775 0.00193217 0.000685714
46 3.185 0.0309023 0.0002 0.0146037 0.00565 0.0105597 0.00420714
47 3.255 0.066572 0.00065 0.0473967 0.022175 0.034717 0.016299
48 3.325 0.0992422 0.00135 0.110222 0.062275 0.0851617 0.04725
49 3.395 0.339972 0.00385 0.228784 0.14905 0.167646 0.110771
50 3.465 0.437342 0.0072 0.360741 0.291575 0.277973 0.220484
51 3.535 0.752585 0.0132 0.509771 0.5012 0.399547 0.384615
52 3.605 0.880433 0.0205 0.662617 0.784575 0.52095 0.607178
53 3.675 0.957467 0.02875 0.786121 1.13395 0.620049 0.882464
54 3.745 1.18464 0.03935 0.878455 1.53937 0.697561 1.20407
55 3.815 1.16849 0.0502 0.949503 1.99412 0.738642 1.55747
56 3.885 1.3085 0.0628 0.973834 2.4778 0.756169 1.93266
57 3.955 1.3628 0.0764 1.0134 2.99943 0.758163 2.32251
58 4.025 1.29646 0.0898 1.01475 3.5404 0.752219 2.72312
59 4.095 1.27121 0.1034 1.02258 4.10468 0.753799 3.13865
60 4.165 1.34179 0.11825 1.04421 4.70075 0.759836 3.57195
61 4.235 1.46822 0.13505 1.07059 5.3326 0.773671 4.0281
62 4.305 1.33628 0.15085 1.0834 5.99333 0.79827 4.51444
63 4.375 1.35119 0.16735 1.09196 6.6811 0.822973 5.03226
64 4.445 1.28517 0.18355 1.10375 7.39872 0.843968 5.58042
65 4.515 1.27638 0.20015 1.11749 8.14835 0.868177 6.16221
66 4.585 1.36073 0.2184 1.11583 8.92025 0.891257 6.77813
67 4.655 1.37075 0.23735 1.13242 9.72772 0.917898 7.43197
68 4.725 1.35852 0.2567 1.14182 10.5666 0.9434 8.12434
69 4.795 1.22711 0.2747 1.17098 11.4525 0.976071 8.86207
70 4.865 1.2351 0.29335 1.18555 12.3759 1.00719 9.64571
71 4.935 1.15848 0.31135 1.1948 13.3334 1.03303 10.4728
72 5.005 1.11066 0.3291 1.20613 14.3276 1.05073 11.338
73 5.075 1.18673 0.3486 1.1981 15.343 1.06699 12.2414
74 5.145 1.08064 0.36685 1.20209 16.3901 1.07167 13.1739
75 5.215 1.16133 0.387 1.21319 17.4759 1.07659 14.1364
76 5.285 1.15042 0.4075 1.20229 18.5809 1.07965 15.1277
77 5.355 1.1178 0.42795 1.19263 19.7063 1.08782 16.1532
78 5.425 1.16371 0.4498 1.19383 20.8625 1.09809 17.2155
79 5.495 1.18097 0.47255 1.19179 22.0467 1.11019 18.3175
80 5.565 1.13626 0.495 1.18366 23.2529 1.12552 19.4633
81 5.635 1.17731 0.51885 1.18492 24.491 1.13729 20.6505
82 5.705 1.19194 0.5436 1.17915 25.7539 1.14743 21.8781
83 5.775 1.09038 0.5668 1.16992 27.0378 1.1563 23.1458
84 5.845 0.995596 0.5885 1.16361 28.346 1.16107 24.4498
85 5.915 1.08193 0.61265 1.16188 29.6837 1.16742 25.7924
86 5.985 1.07646 0.63725 1.14907 31.0381 1.16456 27.1637
87 6.055 1.01324 0.66095 1.15109 32.4268 1.16428 28.5669
88 6.125 0.9547 0.6838 1.12703 33.8181 1.15877 29.996
89 6.195 1.06803 0.70995 1.11634 35.2279 1.15407 31.452
90 6.265 0.982395 0.73455 1.10069 36.6495 1.1475 32.9325
91 6.335 1.00572 0.7603 1.09191 38.0915 1.13712 34.4327
92 6.405 0.987678 0.78615 1.07669 39.545 1.12728 35.9529
93 6.475 0.947746 0.8115 1.05105 40.995 1.11614 37.4912
94 6.545 0.951366 0.8375 1.04361 42.4661 1.10729 39.0504
95 6.615 0.924174 0.8633 1.0353 43.9569 1.09657 40.6278
96 6.685 0.93298 0.8899 1.02057 45.4577 1.08907 42.2277
97 6.755 0.846759 0.91455 1.00375 46.9648 1.08193 43.8506
98 6.825 0.871542 0.94045 0.992957 48.4868 1.07581 45.4979
99 6.895 0.959441 0.96955 0.980345 50.0205 1.06844 47.1676
100 6.965 0.848166 0.9958 0.977481 51.5809 1.06048 48.8588
101 7.035 0.853541 1.02275 0.964695 53.1519 1.05383 50.5733
102 7.105 0.869409 1.05075 0.954765 54.7379 1.04515 52.3076
103 7.175 0.87993 1.07965 0.94914 56.3458 1.03491 54.059
104 7.245 0.886898 1.10935 0.935374 57.9614 1.02622 55.8298
105 7.315 0.899299 1.14005 0.929059 59.5973 1.01784 57.6201
106 7.385 0.859339 1.16995 0.927856 61.2625 1.00676 59.4251
107 7.455 0.78405 1.19775 0.915941 62.9376 0.99669 61.246
108 7.525 0.790292 1.2263 0.912678 64.6382 0.987645 63.0844
109 7.595 0.917092 1.26005 0.911249 66.3679 0.978976 64.9408
110 7.665 0.867069 1.29255 0.904406 68.1164 0.968652 66.8116
111 7.735 0.894674 1.3267 0.899501 69.8873 0.962331 68.7043
112 7.805 0.914721 1.36225 0.895823 71.6831 0.953425 70.6135
113 7.875 0.906114 1.3981 0.895257 73.51 0.948414 72.547
114 7.945 0.929948 1.43555 0.902708 75.3851 0.944475 74.5068
115 8.015 0.900356 1.47245 0.898978 77.2854 0.938604 76.4889
116 8.085 0.874042 1.5089 0.903028 79.2278 0.934918 78.4978
117 8.155 0.948665 1.54915 0.904122 81.2064 0.932686 80.5368
118 8.225 0.955756 1.5904 0.910506 83.2333 0.930838 82.6069
119 8.295 1.00006 1.6343 0.913931 85.3026 0.929125 84.7084
120 8.365 0.993475 1.67865 0.917374 87.4149 0.928537 86.8442
121 8.435 1.01671 1.7248 0.920705 89.5705 0.928112 89.015
122 8.505 0.980539 1.77005 0.936974 91.8007 0.928834 91.2236
123 8.575 1.03281 1.8185 0.940368 94.0761 0.929162 93.4695
124 8.645 1.00671 1.8665 0.94418 96.3981 0.930352 95.7552
125 8.715 1.04736 1.91725 0.94889 98.7696 0.932274 98.0828
126 8.785 1.11198 1.972 0.954471 101.194 0.934619 100.454
127 8.855 1.06448 2.02525 0.970301 103.697 0.936302 102.867
128 8.925 1.11279 2.0818 0.974568 106.252 0.940672 105.33
129 8.995 1.05001 2.136 0.981272 108.864 0.94343 107.84
130 9.065 1.06914 2.19205 0.990639 111.543 0.948094 110.401
131 9.135 1.04343 2.2476 0.997748 114.283 0.951689 113.011
132 9.205 1.12196 2.30825 1.00609 117.088 0.95603 115.674
133 9.275 1.06501 2.3667 1.01044 119.948 0.96078 118.391
134 9.345 1.0877 2.4273 1.01738 122.872 0.96462 121.16
135 9.415 1.03092 2.4856 1.01918 125.845 0.970466 123.988
136 9.485 0.977426 2.5417 1.02398 128.876 0.974772 126.871
137 9.555 1.04213 2.6024 1.0288 131.967 0.980055 129.812
138 9.625 1.0118 2.6622 1.0341 135.119 0.984012 132.809
139 9.695 1.04644 2.72495 1.03515 138.321 0.988525 135.863
140 9.765 1.05286 2.789 1.03182 141.558 0.99241 138.974
141 9.835 1.04927 2.85375 1.04678 144.89 0.995695 142.14
142 9.905 1.01772 2.91745 1.04422 148.261 1.00025 145.366
143 9.975 1.02869 2.98275 1.04147 151.671 1.00403 148.65
144 10.045 1.00741 3.0476 1.04788 155.151 1.00918 151.997
145 10.115 1.01803 3.11405 1.05169 158.691 1.01257 155.403
146 10.185 1.0683 3.18475 1.05162 162.281 1.01574 158.867
