# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
600000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 8.58363e-05 2.5e-05 0 0
44 3.045 0 0 0.000573548 0.0002 0.000247731 7.55102e-05
45 3.115 0.00807669 5e-05 0.00305348 0.001175 0.0018362 0.000661224
46 3.185 0.0154512 0.00015 0.013031 0.005525 0.00989569 0.00396122
47 3.255 0.066572 0.0006 0.0484005 0.0224 0.033923 0.0157765
48 3.325 0.141775 0.0016 0.11572 0.0645 0.0834658 0.0461112
49 3.395 0.305974 0.00385 0.225158 0.1499 0.165314 0.108749
50 3.465 0.483034 0.00755 0.365296 0.294225 0.273883 0.216847
51 3.535 0.708685 0.0132 0.524423 0.509875 0.397344 0.380073
52 3.605 0.916615 0.0208 0.655427 0.790175 0.51801 0.60138
53 3.675 1.0155 0.02955 0.757151 1.12668 0.621655 0.87738
54 3.745 1.20141 0.0403 0.846441 1.51733 0.702324 1.20119
55 3.815 1.34081 0.05275 0.913851 1.955 0.744042 1.55717
56 3.885 1.49543 0.06715 0.950328 2.427 0.767019 1.93774
57 3.955 1.44798 0.0816 0.965118 2.92378 0.765992 2.33161
58 4.025 1.4561 0.09665 0.97475 3.44342 0.758778 2.73571
59 4.095 1.50489 0.11275 0.994356 3.99213 0.761042 3.15524
60 4.165 1.53154 0.1297 1.00807 4.56758 0.766557 3.59237
61 4.235 1.45948 0.1464 1.03196 5.17662 0.780653 4.05264
62 4.305 1.35743 0.16245 1.04352 5.81303 0.801313 4.54083
63 4.375 1.38395 0.17935 1.06922 6.48648 0.826325 5.06076
64 4.445 1.24154 0.195 1.08556 7.19227 0.847715 5.61136
65 4.515 1.29561 0.21185 1.10147 7.93115 0.872402 6.19598
66 4.585 1.28245 0.22905 1.10438 8.69513 0.896217 6.81532
67 4.655 1.19353 0.24555 1.11748 9.49195 0.921237 7.47154
68 4.725 1.22162 0.26295 1.1341 10.3251 0.947059 8.1666
69 4.795 1.37369 0.2831 1.14831 11.1939 0.976219 8.90444
70 4.865 1.31457 0.30295 1.17213 12.1068 1.0079 9.68864
71 4.935 1.24858 0.32235 1.18984 13.0604 1.03489 10.5172
72 5.005 1.13882 0.34055 1.1963 14.0465 1.05567 11.3865
73 5.075 1.16543 0.3597 1.19645 15.0605 1.06849 12.2911
74 5.145 1.18427 0.3797 1.19508 16.1015 1.07598 13.2274
75 5.215 1.09794 0.39875 1.18682 17.1637 1.08135 14.1942
76 5.285 1.14761 0.4192 1.1866 18.2543 1.08364 15.1891
77 5.355 1.12054 0.4397 1.19306 19.3801 1.09178 16.2183
78 5.425 1.16903 0.46165 1.18614 20.5288 1.10021 17.2827
79 5.495 1.23807 0.4855 1.17642 21.6977 1.11536 18.3898
80 5.565 1.12361 0.5077 1.1934 22.9139 1.12622 19.5364
81 5.635 1.19212 0.53185 1.18159 24.1485 1.1383 20.7246
82 5.705 1.07636 0.5542 1.18788 25.4207 1.14917 21.9541
83 5.775 1.07393 0.57705 1.17903 26.7147 1.15863 23.2243
84 5.845 1.15388 0.6022 1.17533 28.036 1.16271 24.5301
85 5.915 1.07745 0.62625 1.17009 29.3831 1.16634 25.8716
86 5.985 0.978007 0.6486 1.15772 30.7477 1.16687 27.2456
87 6.055 0.932011 0.6704 1.15621 32.1426 1.16513 28.6498
88 6.125 0.898295 0.6919 1.14362 33.5544 1.16072 30.0813
89 6.195 0.990426 0.71615 1.12622 34.9767 1.15328 31.5362
90 6.265 1.02832 0.7419 1.11025 36.4107 1.14667 33.0157
91 6.335 0.911983 0.76525 1.10304 37.8674 1.1367 34.5153
92 6.405 0.871144 0.78805 1.08991 39.3387 1.12561 36.0333
93 6.475 0.904751 0.81225 1.06314 40.8054 1.11592 37.5713
94 6.545 0.922093 0.83745 1.04951 42.2848 1.10484 39.1271
95 6.615 0.798801 0.85975 1.03228 43.7712 1.09427 40.7011
96 6.685 0.804959 0.8827 1.01825 45.2686 1.08648 42.2972
97 6.755 0.812408 0.90635 1.01176 46.7878 1.07855 43.915
98 6.825 0.891732 0.93285 1.00501 48.3282 1.06885 45.5517
99 6.895 0.773158 0.9563 0.990765 49.8782 1.06296 47.2129
100 6.965 0.859475 0.9829 0.980347 51.4431 1.0565 48.8977
101 7.035 0.761695 1.00695 0.966568 53.0173 1.04669 50.6006
102 7.105 0.811966 1.0331 0.960966 54.6136 1.03895 52.3246
103 7.175 0.829692 1.06035 0.952165 56.2266 1.02941 54.0667
104 7.245 0.745054 1.0853 0.952541 57.8718 1.02053 55.8276
105 7.315 0.763086 1.11135 0.945202 59.5362 1.0104 57.6049
106 7.385 0.821976 1.13995 0.935212 61.2145 0.999305 59.3965
107 7.455 0.823535 1.16915 0.926426 62.9088 0.990678 61.2064
108 7.525 0.78614 1.19755 0.921278 64.6255 0.98246 63.0352
109 7.595 0.834214 1.22825 0.918638 66.3692 0.972512 64.8793
110 7.665 0.799037 1.2582 0.914557 68.1373 0.963992 66.7411
111 7.735 0.821318 1.28955 0.912555 69.9339 0.956321 68.622
112 7.805 0.769343 1.31945 0.906249 71.7506 0.950277 70.5249
113 7.875 0.829025 1.35225 0.909149 73.6059 0.945211 72.4518
114 7.945 0.857936 1.3868 0.907378 75.4906 0.938911 74.4001
115 8.015 0.830816 1.42085 0.911691 77.4179 0.936395 76.3775
116 8.085 0.874042 1.4573 0.911954 79.3794 0.931504 78.3791
117 8.155 0.823748 1.49225 0.910656 81.3723 0.9307 80.4138
118 8.225 0.895515 1.5309 0.912898 83.4046 0.92881 82.4793
119 8.295 0.879325 1.5695 0.92304 85.4945 0.927407 84.577
120 8.365 0.910592 1.61015 0.925658 87.6259 0.926986 86.7093
121 8.435 0.918673 1.65185 0.932462 89.809 0.927961 88.8796
122 8.505 0.916615 1.69415 0.932006 92.0274 0.928576 91.0876
123 8.575 0.900645 1.7364 0.934127 94.2876 0.930474 93.3367
124 8.645 0.907092 1.77965 0.943784 96.6087 0.930801 95.6235
125 8.715 0.896706 1.8231 0.94975 98.9823 0.933568 97.9543
126 8.785 0.935279 1.86915 0.958458 101.416 0.935522 100.328
127 8.855 0.973525 1.91785 0.96722 103.912 0.93954 102.749
128 8.925 1.00259 1.9688 0.970296 106.455 0.94468 105.223
129 8.995 0.911492 2.01585 0.979497 109.063 0.946598 107.741
130 9.065 1.01192 2.0689 0.984223 111.725 0.950826 110.309
131 9.135 1.00868 2.1226 0.993114 114.452 0.955221 112.93
132 9.205 0.989696 2.1761 0.999972 117.24 0.959525 115.602
133 9.275 1.09143 2.236 1.00423 120.082 0.965709 118.333
134 9.345 0.974623 2.2903 1.01104 122.988 0.969224 121.115
135 9.415 1.00439 2.3471 1.01213 125.94 0.975043 123.957
136 9.485 1.03666 2.4066 1.02065 128.962 0.979157 126.852
137 9.555 0.960582 2.46255 1.02409 132.038 0.983268 129.803
138 9.625 0.990652 2.5211 1.03378 135.19 0.988412 132.813
139 9.695 1.02809 2.58275 1.04059 138.408 0.992932 135.881
140 9.765 1.03642 2.6458 1.04102 141.675 0.996428 139.005
141 9.835 1.01848 2.70865 1.03779 144.978 1.00085 142.187
142 9.905 0.984164 2.77025 1.04619 148.355 1.00615 145.432
143 9.975 1.04129 2.83635 1.04209 151.767 1.00971 148.735
144 10.045 1.05324 2.90415 1.0442 155.234 1.01407 152.098
145 10.115 1.01037 2.9701 1.05051 158.771 1.0178 155.521
146 10.185 1.05999 3.04025 1.04493 162.338 1.01977 158.999
