# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
400000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.76026e-05 5.10204e-06
44 3.045 0 0 0.000246747 7.5e-05 0.000198271 6.53061e-05
45 3.115 0.0243228 0.00015 0.00353673 0.0012 0.00184965 0.000653061
46 3.185 0.0155103 0.00025 0.0124043 0.005325 0.0100011 0.00397551
47 3.255 0.0297007 0.00045 0.0502412 0.022775 0.0337587 0.0156888
48 3.325 0.185012 0.00175 0.121543 0.066825 0.0851211 0.0465071
49 3.395 0.211589 0.0033 0.225226 0.151925 0.168098 0.109957
50 3.465 0.366938 0.0061 0.371331 0.298075 0.276514 0.218678
51 3.535 0.554008 0.0105 0.517702 0.51015 0.399305 0.382085
52 3.605 0.847481 0.0175 0.650658 0.78735 0.523089 0.604709
53 3.675 0.856279 0.02485 0.75474 1.1215 0.623353 0.880408
54 3.745 0.976021 0.03355 0.846689 1.51077 0.699328 1.2016
55 3.815 1.16215 0.0443 0.909016 1.94447 0.744606 1.5565
56 3.885 1.3083 0.05685 0.924556 2.40193 0.761054 1.93267
57 3.955 1.32778 0.07005 0.952332 2.89025 0.762612 2.32331
58 4.025 1.42768 0.08475 0.966805 3.4037 0.754799 2.72376
59 4.095 1.36521 0.0993 0.977604 3.9411 0.75446 3.13807
60 4.165 1.36506 0.11435 1.00802 4.51433 0.758916 3.5692
61 4.235 1.44313 0.1308 1.03531 5.12303 0.777158 4.02566
62 4.305 1.39234 0.1472 1.04047 5.75515 0.798526 4.5103
63 4.375 1.50022 0.16545 1.05773 6.41883 0.822593 5.02591
64 4.445 1.30999 0.1819 1.05637 7.10303 0.848981 5.57523
65 4.515 1.39704 0.2 1.08312 7.82683 0.872765 6.15786
66 4.585 1.36594 0.21825 1.0922 8.5795 0.894177 6.77344
67 4.655 1.34695 0.2368 1.11123 9.36885 0.919294 7.42578
68 4.725 1.39544 0.2566 1.13789 10.2016 0.946495 8.11777
69 4.795 1.36526 0.27655 1.15198 11.0699 0.974417 8.85145
70 4.865 1.27639 0.29575 1.15541 11.9663 1.00712 9.63204
71 4.935 1.30505 0.31595 1.19185 12.9179 1.03595 10.4583
72 5.005 1.25938 0.336 1.18697 13.8925 1.05535 11.324
73 5.075 1.25542 0.35655 1.19422 14.9008 1.06738 12.2243
74 5.145 1.31362 0.37865 1.18554 15.9296 1.07424 13.1555
75 5.215 1.19181 0.39925 1.18076 16.9823 1.07624 14.114
76 5.285 1.14073 0.4195 1.17454 18.0577 1.08021 15.102
77 5.355 1.22633 0.44185 1.17345 19.1608 1.0876 16.1234
78 5.425 1.13341 0.46305 1.1786 20.2978 1.09664 17.1803
79 5.495 1.08908 0.48395 1.1815 21.4673 1.10894 18.2768
80 5.565 1.19904 0.50755 1.18144 22.6667 1.12263 19.4154
81 5.635 1.07033 0.52915 1.17943 23.8944 1.13389 20.5944
82 5.705 1.153 0.553 1.17511 25.1481 1.1453 21.8151
83 5.775 1.13229 0.577 1.17762 26.4356 1.15374 23.0752
84 5.845 1.0754 0.60035 1.16673 27.7422 1.16112 24.3742
85 5.915 1.10181 0.62485 1.15628 29.0684 1.16405 25.7079
86 5.985 1.11792 0.6503 1.1639 30.4351 1.16596 27.0756
87 6.055 1.06218 0.67505 1.15 31.8172 1.16278 28.4717
88 6.125 1.15338 0.70255 1.13763 33.2162 1.15802 29.8944
89 6.195 1.00856 0.72715 1.128 34.6353 1.15452 31.3453
90 6.265 0.996175 0.752 1.10946 36.0628 1.14723 32.8199
91 6.335 1.0527 0.77885 1.09532 37.5038 1.137 34.3142
92 6.405 1.01447 0.8053 1.07754 38.9529 1.12638 35.8274
93 6.475 1.00016 0.83195 1.06755 40.4201 1.11677 37.3607
94 6.545 1.01194 0.8595 1.05271 41.8983 1.1071 38.9137
95 6.615 0.992433 0.8871 1.03804 43.3873 1.09801 40.4871
96 6.685 0.883737 0.9122 1.0215 44.8838 1.08928 42.0813
97 6.755 0.893102 0.9381 1.01393 46.4004 1.08156 43.6974
98 6.825 0.915411 0.9652 0.999163 47.9261 1.07273 45.3337
99 6.895 0.850583 0.9909 0.998678 49.4824 1.06466 46.9912
100 6.965 0.929255 1.01955 0.984208 51.0476 1.05909 48.6737
101 7.035 0.882241 1.0473 0.97942 52.6366 1.05229 50.3792
102 7.105 0.899229 1.07615 0.971607 54.2444 1.04187 52.1015
103 7.175 0.875656 1.1048 0.959215 55.8631 1.03316 53.8433
104 7.245 0.918769 1.13545 0.957885 57.5113 1.02385 55.6032
105 7.315 0.857161 1.1646 0.946367 59.1713 1.01354 57.3792
106 7.385 0.872724 1.19485 0.937461 60.8473 1.00323 59.1709
107 7.455 0.866321 1.22545 0.934251 62.5494 0.994153 60.9803
108 7.525 0.901684 1.2579 0.924749 64.2659 0.983333 62.8037
109 7.595 0.879685 1.29015 0.920024 66.0057 0.975369 64.6462
110 7.665 0.946712 1.3255 0.91176 67.7616 0.965962 66.5047
111 7.735 0.93886 1.3612 0.914708 69.5557 0.958484 68.3826
112 7.805 0.866562 1.39475 0.911557 71.376 0.951697 70.2812
113 7.875 0.851225 1.4283 0.909812 73.2256 0.946956 72.2043
114 7.945 0.869943 1.4632 0.909182 75.1068 0.940759 74.149
115 8.015 0.935642 1.5014 0.912354 77.0281 0.937013 76.1201
116 8.085 0.929139 1.54 0.903741 78.9647 0.933949 78.1194
117 8.155 1.01026 1.5827 0.906916 80.9418 0.93134 80.1477
118 8.225 0.93034 1.6227 0.913618 82.9678 0.929462 82.2068
119 8.295 0.997028 1.6663 0.915953 85.0338 0.92755 84.2968
120 8.365 1.07261 1.714 0.923641 87.1524 0.92725 86.4215
121 8.435 1.02834 1.7605 0.929512 89.3204 0.927808 88.5832
122 8.505 1.04846 1.8087 0.935814 91.5394 0.92899 90.7838
123 8.575 1.10417 1.8603 0.936146 93.7959 0.929866 93.0229
124 8.645 1.0453 1.90995 0.944058 96.1087 0.930975 95.3013
125 8.715 1.16842 1.96635 0.951335 98.4773 0.931501 97.6182
126 8.785 1.11215 2.0209 0.956236 100.896 0.936583 99.9852
127 8.855 1.15685 2.07855 0.962556 103.371 0.938113 102.394
128 8.925 1.07062 2.13275 0.968034 105.898 0.940999 104.849
129 8.995 1.17362 2.1931 0.972377 108.477 0.945989 107.355
130 9.065 1.12589 2.2519 0.977947 111.112 0.948457 109.907
131 9.135 1.20392 2.31575 0.985563 113.808 0.953815 112.514
132 9.205 1.19589 2.38015 0.994842 116.571 0.958827 115.174
133 9.275 1.10749 2.4407 0.996141 119.38 0.96263 117.886
134 9.345 1.17745 2.50605 1.00892 122.268 0.96744 120.653
135 9.415 1.19728 2.5735 1.01323 125.212 0.971597 123.473
136 9.485 1.18317 2.64115 1.01455 128.204 0.97678 126.351
137 9.555 1.1366 2.7071 1.01409 131.239 0.981712 129.286
138 9.625 1.25261 2.78085 1.01626 134.326 0.986513 132.279
139 9.695 1.22538 2.85405 1.02461 137.483 0.991003 135.329
140 9.765 1.19962 2.92675 1.02856 140.698 0.996372 138.44
141 9.835 1.25581 3.00395 1.02912 143.961 0.999605 141.607
142 9.905 1.24534 3.0816 1.02877 147.269 1.00261 144.828
143 9.975 1.21448 3.1584 1.03567 150.647 1.0079 148.112
144 10.045 1.23582 3.23765 1.03131 154.059 1.0108 151.452
145 10.115 1.1957 3.3154 1.03315 157.524 1.01412 154.85
146 10.185 1.218 3.3957 1.03116 161.03 1.0173 158.306
