# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
600000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.76026e-05 5.10204e-06
44 3.045 0 0 0.000328995 0.0001 0.00019491 6.42857e-05
45 3.115 0 0 0.00204344 0.00075 0.00191708 0.000673469
46 3.185 0.0155103 0.0001 0.0122539 0.004825 0.00968782 0.00389184
47 3.255 0.0891022 0.0007 0.044339 0.020225 0.0335705 0.0155398
48 3.325 0.20636 0.00215 0.108506 0.05955 0.0836978 0.0458429
49 3.395 0.307145 0.0044 0.220528 0.142875 0.166698 0.108764
50 3.465 0.596274 0.00895 0.350814 0.28095 0.273018 0.21611
51 3.535 0.793238 0.01525 0.492009 0.4825 0.39751 0.378783
52 3.605 0.98671 0.0234 0.642677 0.7563 0.516704 0.59869
53 3.675 1.31063 0.03465 0.750448 1.08855 0.61935 0.872618
54 3.745 1.30136 0.04625 0.833584 1.4718 0.695344 1.19198
55 3.815 1.43783 0.05955 0.883446 1.8933 0.740611 1.54498
56 3.885 1.50636 0.074 0.932893 2.35488 0.757305 1.91929
57 3.955 1.61949 0.0901 0.940874 2.83733 0.7606 2.30891
58 4.025 1.43254 0.10485 0.953577 3.34375 0.755211 2.70957
59 4.095 1.50596 0.1209 0.98488 3.88515 0.753145 3.12316
60 4.165 1.59635 0.1385 1.022 4.46633 0.762228 3.55617
61 4.235 1.63613 0.15715 1.01724 5.0644 0.777028 4.01255
62 4.305 1.53242 0.1752 1.04043 5.6965 0.799167 4.49758
63 4.375 1.47966 0.1932 1.04553 6.35253 0.826224 5.01547
64 4.445 1.42945 0.21115 1.06582 7.04285 0.850214 5.56558
65 4.515 1.44336 0.22985 1.08129 7.76542 0.872351 6.14794
66 4.585 1.48569 0.2497 1.08491 8.51307 0.895623 6.76451
67 4.655 1.56842 0.2713 1.0897 9.28712 0.920475 7.41769
68 4.725 1.24391 0.28895 1.10243 10.0939 0.9478 8.11064
69 4.795 1.21128 0.30665 1.12428 10.9413 0.979893 8.84844
70 4.865 1.38941 0.32755 1.14642 11.8308 1.01139 9.63235
71 4.935 1.39872 0.3492 1.14936 12.7484 1.03514 10.4579
72 5.005 1.26566 0.36935 1.16252 13.703 1.05706 11.3251
73 5.075 1.21266 0.3892 1.17414 14.6943 1.06828 12.2261
74 5.145 1.24527 0.41015 1.16408 15.7045 1.07761 13.1602
75 5.215 1.29884 0.4326 1.15701 16.736 1.08078 14.1228
76 5.285 1.3379 0.45635 1.15379 17.7924 1.0848 15.115
77 5.355 1.25925 0.4793 1.16579 18.8883 1.0895 16.1381
78 5.425 1.26439 0.50295 1.1537 20.0013 1.10213 17.2004
79 5.495 1.24802 0.5269 1.15528 21.1449 1.11525 18.3031
80 5.565 1.2727 0.55195 1.16391 22.3265 1.12756 19.4467
81 5.635 1.21651 0.5765 1.16265 23.5366 1.13909 20.6311
82 5.705 1.28352 0.60305 1.16358 24.7781 1.14914 21.8559
83 5.775 1.21249 0.62875 1.15745 26.0435 1.1579 23.1205
84 5.845 1.22738 0.6554 1.15311 27.3349 1.16508 24.424
85 5.915 1.17602 0.68155 1.14337 28.6463 1.16619 25.7602
86 5.985 1.09376 0.70645 1.14657 29.9926 1.16732 27.1295
87 6.055 1.14158 0.73305 1.14372 31.3671 1.16532 28.5286
88 6.125 1.07788 0.75875 1.12567 32.7515 1.16188 29.956
89 6.195 1.03316 0.78395 1.11224 34.1508 1.15551 31.4082
90 6.265 1.15051 0.81265 1.10595 35.5737 1.1468 32.8822
91 6.335 1.10366 0.8408 1.0909 37.0089 1.13802 34.3779
92 6.405 1.04132 0.86795 1.06776 38.4448 1.128 35.8933
93 6.475 1.08085 0.89675 1.06697 39.9112 1.11512 37.4243
94 6.545 0.991737 0.92375 1.05659 41.3949 1.10597 38.9757
95 6.615 1.03918 0.95265 1.04459 42.8933 1.09804 40.5492
96 6.685 1.04394 0.9823 1.02823 44.3996 1.08788 42.1412
97 6.755 1.01724 1.0118 1.01368 45.9159 1.0818 43.7577
98 6.825 0.989725 1.0411 1.01439 47.4648 1.07393 45.3959
99 6.895 1.07068 1.07345 1.00335 49.0284 1.06482 47.0537
100 6.965 1.08008 1.10675 0.990763 50.604 1.05806 48.7345
101 7.035 1.03961 1.13945 0.985722 52.2032 1.05024 50.4367
102 7.105 0.986502 1.1711 0.976154 53.8186 1.03931 52.1548
103 7.175 0.887881 1.20015 0.961541 55.4412 1.03091 53.8927
104 7.245 0.941251 1.23155 0.96098 57.0947 1.02108 55.6479
105 7.315 0.989485 1.2652 0.952824 58.7661 1.01272 57.4225
106 7.385 0.931868 1.2975 0.942747 60.4515 1.00087 59.21
107 7.455 0.894632 1.3291 0.943294 62.1701 0.991522 61.0146
108 7.525 0.960037 1.36365 0.933826 63.9035 0.982461 62.8364
109 7.595 0.911053 1.39705 0.931474 65.6648 0.972092 64.6727
110 7.665 0.940017 1.43215 0.918913 67.4346 0.963811 66.527
111 7.735 0.987512 1.4697 0.920686 69.2403 0.956308 68.4007
112 7.805 0.913055 1.50505 0.919895 71.0773 0.949741 70.2953
113 7.875 0.919729 1.5413 0.917756 72.943 0.942768 72.2099
114 7.945 0.903594 1.57755 0.916625 74.8397 0.938604 74.1501
115 8.015 0.912373 1.6148 0.916877 76.7705 0.935395 76.1179
116 8.085 0.889422 1.65175 0.912561 78.726 0.931471 78.1118
117 8.155 0.913256 1.69035 0.91578 80.7224 0.930732 80.1388
118 8.225 0.955924 1.73145 0.91479 82.7511 0.929057 82.197
119 8.295 0.863252 1.7692 0.919278 84.8245 0.927468 84.2868
120 8.365 0.927568 1.81045 0.921407 86.9381 0.926454 86.4097
121 8.435 0.950937 1.85345 0.93366 89.1156 0.926611 88.5687
122 8.505 0.880968 1.89395 0.92757 91.3151 0.926853 90.7642
123 8.575 0.905161 1.93625 0.941103 93.5835 0.929186 93.0016
124 8.645 0.891614 1.9786 0.942129 95.8917 0.930084 95.2779
125 8.715 0.923961 2.0232 0.952128 98.2622 0.932306 97.5967
126 8.785 0.996963 2.0721 0.956226 100.681 0.934258 99.9579
127 8.855 0.997317 2.1218 0.968401 103.17 0.938835 102.369
128 8.925 0.88198 2.16645 0.971002 105.706 0.940511 104.822
129 8.995 0.990822 2.2174 0.976779 108.297 0.945045 107.326
130 9.065 1.01579 2.27045 0.984731 110.949 0.949466 109.881
131 9.135 0.987083 2.3228 0.991777 113.662 0.954493 112.489
132 9.205 1.00555 2.37695 0.994698 116.425 0.958237 115.148
133 9.275 0.948364 2.4288 0.999528 119.244 0.962827 117.86
134 9.345 1.03691 2.48635 1.00866 122.131 0.967042 120.626
135 9.415 0.989597 2.5421 1.00876 125.062 0.972423 123.449
136 9.485 1.0004 2.5993 1.01496 128.056 0.977937 126.33
137 9.555 0.971151 2.65565 1.01626 131.097 0.98354 129.27
138 9.625 0.962172 2.7123 1.02216 134.201 0.986793 132.264
139 9.695 0.975112 2.77055 1.0287 137.371 0.991582 135.316
140 9.765 1.02389 2.8326 1.02856 140.586 0.997004 138.429
141 9.835 1.01668 2.8951 1.03652 143.873 1.00013 141.597
142 9.905 0.96708 2.9554 1.0389 147.214 1.0049 144.826
143 9.975 0.970159 3.01675 1.03559 150.592 1.00891 148.113
144 10.045 1.00737 3.08135 1.04605 154.051 1.01152 151.456
145 10.115 0.985781 3.14545 1.05005 157.573 1.01686 154.863
146 10.185 1.01323 3.21225 1.04349 161.122 1.02056 158.33
